Company,Date,StockPrice,Revenue,Industry
3m,0,175.63,0.1,conglomerates
3m,0,165.58,0.1,conglomerates
3m,0,162,0.1,conglomerates
3m,1,162.51,0.1,conglomerates
3m,1,158.66,0.1,conglomerates
3m,1,156.59,0.1,conglomerates
3m,1,157.24,0.1,conglomerates
a.o. smith,0,43.81,0.35,water technology
a.o. smith,0,45.49,0.35,water technology
a.o. smith,0,44.31,0.35,water technology
a.o. smith,1,43.45,0.35,water technology
a.o. smith,1,42.69,0.35,water technology
a.o. smith,1,42.28,0.35,water technology
a.o. smith,1,42.79,0.35,water technology
abbott laboratories,0,89.59,0.08,healthcare
abbott laboratories,0,89.54,0.08,healthcare
abbott laboratories,0,89.14,0.08,healthcare
abbott laboratories,1,89.16,0.08,healthcare
abbott laboratories,1,87.14,0.08,healthcare
abbott laboratories,1,87.06,0.08,healthcare
abbott laboratories,1,88.23,0.08,healthcare
acacia communications,0,68.73,0.3,technology
acacia communications,0,68.51,0.3,technology
acacia communications,0,68.66,0.3,technology
acacia communications,1,68.83,0.3,technology
acacia communications,1,68.55,0.3,technology
acacia communications,1,68.55,0.3,technology
acacia communications,1,68.845,0.3,technology
agilent technologies inc,0,86.56,0.21,technology
agilent technologies inc,0,87.18,0.21,technology
agilent technologies inc,0,87.24,0.21,technology
agilent technologies inc,1,84.38,0.21,technology
agilent technologies inc,1,82.56,0.21,technology
agilent technologies inc,1,82.15,0.21,technology
agilent technologies inc,1,83.52,0.21,technology
air china,0,0.85,0.67,airlines
air china,0,0.85,0.67,airlines
air china,0,0.85,0.67,airlines
air china,1,0.85,0.67,airlines
air china,1,0.85,0.67,airlines
air china,1,0.85,0.67,airlines
air china,1,0.87,0.67,airlines
alibaba,0,205.47,0.94,ecommerce
alibaba,0,210.23,0.94,ecommerce
alibaba,0,212.02,0.94,ecommerce
alibaba,1,208.58,0.94,ecommerce
alibaba,1,206.59,0.94,ecommerce
alibaba,1,213.1,0.94,ecommerce
alibaba,1,222.88,0.94,ecommerce
alphabet,0,1431.73,0.07,technology
alphabet,0,1450.5,0.07,technology
alphabet,0,1456.7,0.07,technology
alphabet,1,1454.25,0.07,technology
alphabet,1,1432.78,0.07,technology
alphabet,1,1482.6,0.07,technology
alphabet,1,1445.41,0.07,technology
amd,0,49.26,0.26,semiconductors
amd,0,50.53,0.26,semiconductors
amd,0,47.51,0.26,semiconductors
amd,1,48.78,0.26,semiconductors
amd,1,47,0.26,semiconductors
amd,1,48.02,0.26,semiconductors
amd,1,49.45,0.26,semiconductors
american airlines,0,26.11,0.02,airlines
american airlines,0,26.9,0.02,airlines
american airlines,0,26.8,0.02,airlines
american airlines,1,27.72,0.02,airlines
american airlines,1,26.84,0.02,airlines
american airlines,1,27.16,0.02,airlines
american airlines,1,28.43,0.02,airlines
amphenol corp,0,102.63,0.3,technology
amphenol corp,0,103.41,0.3,technology
amphenol corp,0,103.42,0.3,technology
amphenol corp,1,101.87,0.3,technology
amphenol corp,1,99.47,0.3,technology
amphenol corp,1,99.95,0.3,technology
amphenol corp,1,103.84,0.3,technology
analog devices,0,112.21,0.17,semiconductors
analog devices,0,114.31,0.17,semiconductors
analog devices,0,113.23,0.17,semiconductors
analog devices,1,112.37,0.17,semiconductors
analog devices,1,109.75,0.17,semiconductors
analog devices,1,110,0.17,semiconductors
analog devices,1,112.46,0.17,semiconductors
apple,0,308.95,0.15,technology
apple,0,317.69,0.15,technology
apple,0,324.34,0.15,technology
apple,1,323.87,0.15,technology
apple,1,309.51,0.15,technology
apple,1,308.66,0.15,technology
apple,1,318.85,0.15,technology
applied materials,0,59.05,0.19,manufacturing
applied materials,0,60.19,0.19,manufacturing
applied materials,0,59.82,0.19,manufacturing
applied materials,1,60.25,0.19,manufacturing
applied materials,1,57.99,0.19,manufacturing
applied materials,1,59.72,0.19,manufacturing
applied materials,1,63.01,0.19,manufacturing
aptiv plc,0,88.6,0.26,auto industry
aptiv plc,0,89.64,0.26,auto industry
aptiv plc,0,89.88,0.26,auto industry
aptiv plc,1,87.68,0.26,auto industry
aptiv plc,1,84.79,0.26,auto industry
aptiv plc,1,86.72,0.26,auto industry
aptiv plc,1,90.51,0.26,auto industry
avery dennison,0,127.84,0.2,manufacturing
avery dennison,0,129.21,0.2,manufacturing
avery dennison,0,136.23,0.2,manufacturing
avery dennison,1,136.11,0.2,manufacturing
avery dennison,1,131.24,0.2,manufacturing
avery dennison,1,133.98,0.2,manufacturing
avery dennison,1,136.85,0.2,manufacturing
baidu,0,126.28,1,technology
baidu,0,126.93,1,technology
baidu,0,126.47,1,technology
baidu,1,125.47,1,technology
baidu,1,123.56,1,technology
baidu,1,130.49,1,technology
baidu,1,131.47,1,technology
bank of america,0,32.85,0.01,banking & financial services
bank of america,0,33.24,0.01,banking & financial services
bank of america,0,33.01,0.01,banking & financial services
bank of america,1,33.48,0.01,banking & financial services
bank of america,1,32.83,0.01,banking & financial services
bank of america,1,32.97,0.01,banking & financial services
bank of america,1,33.62,0.01,banking & financial services
bank of china,0,0.4,0.99,banking & financial services
bank of china,0,0.39,0.99,banking & financial services
bank of china,0,0.4,0.99,banking & financial services
bank of china,1,0.395,0.99,banking & financial services
bank of china,1,0.3905,0.99,banking & financial services
bank of china,1,0.3751,0.99,banking & financial services
bank of china,1,0.405,0.99,banking & financial services
bilibili,0,22.3,1,technology
bilibili,0,22.41,1,technology
bilibili,0,22.38,1,technology
bilibili,1,21.26,1,technology
bilibili,1,21.55,1,technology
bilibili,1,23.04,1,technology
bilibili,1,23.58,1,technology
boeing,0,316.6,0.07,airlines
boeing,0,316.56,0.07,airlines
boeing,0,322.02,0.07,airlines
boeing,1,323.3,0.07,airlines
boeing,1,318.27,0.07,airlines
boeing,1,316,0.07,airlines
boeing,1,317.94,0.07,airlines
